index,title,url
1,Fundamentals of Power Electronics,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5
2,Handbook of the Life Course,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2
3,All of Statistics,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9
4,Social Anxiety and Social Phobia in Youth,http://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0
5,Discrete Mathematics,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2
6,Developmental Neurobiology,http://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9
7,Intuitive Probability and Random Processes using MATLAB®,http://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6
8,Handbook of Disaster Research,http://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4
9,Handbook of the Sociology of Gender,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2
10,Handbook of Sociological Theory,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8
11,Clinical Neuroanatomy,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2
12,Acquired Brain Injury,http://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5
13,Numerical Optimization,http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5
14,Handbook of Biological Confocal Microscopy,http://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2
15,Ceramic Materials,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4
16,Principles of Fluorescence Spectroscopy,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4
17,Fundamentals of Biomechanics,http://link.springer.com/openurl?genre=book&isbn=978-0-387-49312-1
18,Primer on the Rheumatic Diseases,http://link.springer.com/openurl?genre=book&isbn=978-0-387-68566-3
19,International Handbook of Historical Archaeology,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72071-5
20,Database Marketing,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6
21,Composite Materials,http://link.springer.com/openurl?genre=book&isbn=978-0-387-74365-3
22,Time Series Analysis,http://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3
23,Transmission Electron Microscopy,http://link.springer.com/openurl?genre=book&isbn=978-0-387-76501-3
24,Handbook of Quantitative Criminology,http://link.springer.com/openurl?genre=book&isbn=978-0-387-77650-7
25,Plant Physiological Ecology,http://link.springer.com/openurl?genre=book&isbn=978-0-387-78341-3
26,Introductory Statistics with R,http://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1
27,The Elements of Statistical Learning,http://link.springer.com/openurl?genre=book&isbn=978-0-387-84858-7
28,Psychology  Religion  and Spirituality,http://link.springer.com/openurl?genre=book&isbn=978-0-387-87573-6
29,Introductory Time Series with R,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5
30,Child Neuropsychology,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88963-4
31,A Beginner's Guide to R,http://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0
32,Geomorphology of Desert Environments,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-5719-9
33,The Joy of Science,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6099-1
